model_id,id,x,y,ei,location,spatial_size,kpeaks_dom_0,kpeaks_dom_1,weight_dom_0,weight_dom_1,delay_dom_0,delay_dom_1,kpeaks_non_dom_0,kpeaks_non_dom_1,weight_non_dom_0,weight_non_dom_1,delay_non_dom_0,delay_non_dom_1,tuning_angle,sf_sep
sOFF_TF1,12149.5,120.12878227518314,60.00697532795462,e,LGN,5.030994649459223,54.46192415933704,127.98030285391617,2.1144677755496644,-1.2215971006785262,0.0,4.996330773935011,nan,nan,nan,nan,nan,nan,nan,nan
sOFF_TF15,8024.5,119.83167382075823,60.153237444357295,e,LGN,4.988248616306985,4.737035678757089,21.60932115967238,10.002102565918866,-3.2588147653229957,0.0,4.999394682706732,nan,nan,nan,nan,nan,nan,nan,nan
sOFF_TF2,13349.5,120.01067379485355,59.86499388861727,e,LGN,4.94279799471508,19.854453973384157,91.98330112430578,3.1835660324968384,-1.1411102270942028,0.0,25.00287254625521,nan,nan,nan,nan,nan,nan,nan,nan
sOFF_TF4,15074.5,120.01344253284917,60.00454857386646,e,LGN,5.022886329194282,22.24561292292262,56.113907965361335,3.22897124295736,-1.657914369257464,0.0,15.002459248195548,nan,nan,nan,nan,nan,nan,nan,nan
sOFF_TF8,16799.5,120.28969543039067,60.00740976833366,e,LGN,4.965418264245761,18.03332402255292,51.24205013063186,3.2481445638701114,-1.6850892306417133,0.0,14.996631327732826,nan,nan,nan,nan,nan,nan,nan,nan
sON_TF1,3824.5,119.87468845808131,59.92583931161468,e,LGN,4.972104809912478,56.5372614328255,137.41413169653555,1.000080021231492,-0.4460892844410229,0.0,14.994456010671371,nan,nan,nan,nan,nan,nan,nan,nan
sON_TF2,4724.5,119.9549367691357,60.08259490396362,e,LGN,5.092933480780038,31.218170109476606,137.07352100031736,4.2833817130445615,-1.4280804329815187,0.0,4.9990116054650455,nan,nan,nan,nan,nan,nan,nan,nan
sON_TF4,2774.5,119.72972171024554,59.93106131830717,e,LGN,4.953441983540475,30.75188619887551,58.35980613995853,3.5951256362547515,-1.8141043858349102,0.0,24.99139046499155,nan,nan,nan,nan,nan,nan,nan,nan
sON_TF8,1124.5,120.13978924706738,60.04520248378517,e,LGN,5.066366461747752,12.94079381224506,28.27357437835173,3.7028874853352893,-1.754300186302635,0.0,25.005219366968447,nan,nan,nan,nan,nan,nan,nan,nan
sONsOFF_001,5699.5,119.87526459281926,60.09966497654527,e,LGN,6.0,22.242892503052794,56.09018855607991,3.230608087696626,-1.6594987523642009,0.0,14.998557801437512,30.749557679328923,58.365382325397114,3.593079471761552,-1.815647036924815,0.0,24.987949331898697,178.32871177727372,5.999925764633439
sONtOFF_001,8924.5,119.66954971578475,59.970528300161064,e,LGN,9.0,8.516176443299473,23.23841187896359,4.2189652827698145,-2.4044376652521255,0.0,0.0,30.777272991439386,58.289593787808805,3.591294197554154,-1.8149656770837335,0.0,24.9885773770192,179.498831454125,3.997014099985581
tOFF_TF15,6899.5,119.97931818654637,59.8723315868031,e,LGN,4.929083790422983,8.2640152690424,20.009549574394462,3.4399039120317223,-2.114140602281192,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
tOFF_TF4,10799.5,119.80344780489925,60.020929624792274,e,LGN,5.047357804177516,29.157735313445166,59.37669696632519,3.3446943931083704,-2.1836947112954967,0.0,15.005633867983446,nan,nan,nan,nan,nan,nan,nan,nan
tOFF_TF8,9674.5,120.06263633735354,60.035805088971856,e,LGN,4.959111787407696,8.516393578484259,23.262647671682203,4.219290630744113,-2.40254524782211,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
